# index, male, _pos
138,1,"array([ 8.85618635, -0.25580548])"
139,0,"array([3.40426749, 1.79035012])"
140,1,"array([9.62892433, 0.28414334])"
141,0,"array([10.76043253, -1.5569571 ])"
142,1,"array([ 3.91109603, -6.64519622])"
143,0,"array([-0.69705253, -9.3465813 ])"
144,1,"array([ 6.76764793, -4.4542348 ])"
145,0,"array([10.98692897, -6.30471785])"
146,1,"array([3.26624121, 5.62304426])"
147,0,"array([11.4175508 ,  0.43275101])"
148,0,"array([ 1.94988626, -4.95874641])"
149,0,"array([ 1.97290127, -0.45183932])"
150,1,"array([21.32892103, -0.1374553 ])"
151,0,"array([25.02784544, -0.09981021])"
152,1,"array([20.74293477, -2.81447159])"
153,0,"array([11.11577447, -4.76981404])"
154,0,"array([ 9.99792793, -5.11556232])"
155,1,"array([15.29246354, -5.15718487])"
156,0,"array([13.32524061, -6.76375968])"
157,0,"array([7.24521736, 3.74142986])"
158,0,"array([2.71003994, 0.18840013])"
159,0,"array([5.03259443, 8.42771769])"
160,0,"array([13.02308431, -8.37039011])"
161,0,"array([14.42577314, -6.56228183])"
162,0,"array([11.40580579, -4.37367452])"
163,0,"array([ 0.79702448, -3.80078614])"
164,1,"array([11.34760966, -6.57315636])"
165,0,"array([14.22006463, -3.76528736])"
166,0,"array([16.64709576, -1.80256877])"
167,0,"array([-2.64227998,  4.65828756])"
168,1,"array([12.0175986 , -3.83067855])"
169,0,"array([ 8.60323991, -3.93129771])"
170,0,"array([12.79045289, -6.5761173 ])"
171,0,"array([ 9.99770248, -3.08162403])"
172,1,"array([  9.09693638, -13.2335573 ])"
173,1,"array([ 7.81552671, -6.18242697])"
174,0,"array([ 1.70376949, -7.55826464])"
175,0,"array([14.08391017, -3.19091303])"
176,0,"array([  5.27960644, -17.17636912])"
177,0,"array([11.02855673, -9.76673478])"
178,1,"array([   7.39300099, -119.66789374])"
179,0,"array([   8.30022068, -119.6386198 ])"
180,0,"array([ 13.6997434 , -11.93451681])"
181,0,"array([14.31401078, -6.13184421])"
182,0,"array([12.05773403, -2.91349575])"
183,0,"array([ 2.46300071, -5.03448972])"
184,0,"array([12.62580526, -3.0666063 ])"
185,0,"array([ 1.2858052 , -4.97051153])"
186,0,"array([2.88958896, 1.75369004])"
187,1,"array([11.40400709, -3.61122665])"
188,0,"array([ 5.42715343, -1.16811592])"
189,0,"array([ 4.11441254, -0.10131625])"
190,0,"array([15.97828157, -7.8263154 ])"
191,0,"array([10.20243148, -2.9686548 ])"
192,0,"array([6.48337613, 1.0322878 ])"
193,0,"array([11.77018057, -1.60585596])"
194,0,"array([7.33813512, 2.25021041])"
