# index, male, _pos
2995,1,"array([21.86372039, -3.3397769 ])"
2996,1,"array([14.62011927, -6.34064292])"
2997,0,"array([ 16.99008722, -12.47198161])"
2998,0,"array([15.46199438, -1.39354379])"
2999,0,"array([12.06269032, 17.14691648])"
3000,0,"array([2.573642  , 8.46160722])"
3001,0,"array([ 4.82082249, 17.31585686])"
3002,1,"array([ 8.97371813, -3.16580798])"
3003,0,"array([28.86264689, 12.7013427 ])"
3004,0,"array([ 0.16965004, 13.90906547])"
3005,0,"array([35.70751021, -9.21145634])"
3006,1,"array([ 45.78318611, -19.81290055])"
3007,1,"array([-10.10647676, -13.94138305])"
3008,1,"array([39.9717392 , -8.31507903])"
3009,1,"array([25.45320652,  7.07222076])"
3010,0,"array([-4.96570788, -2.99403789])"
3011,0,"array([ 38.12233418, -17.99146822])"
3012,0,"array([14.30369243,  2.51962688])"
3013,0,"array([10.28164506, -6.63960608])"
3014,0,"array([  4.37660333, -13.08353017])"
3015,0,"array([-16.5693984 ,  -3.55648769])"
3016,1,"array([14.1897023 , -5.45984262])"
3017,1,"array([ 6.09365653, -2.4224328 ])"
3018,1,"array([12.73420549,  0.41545918])"
3019,0,"array([14.28116008,  1.9372588 ])"
3020,0,"array([16.86487413, -5.24281379])"
3021,1,"array([21.27878709,  8.56771489])"
3022,0,"array([  3.62481379, -17.45362843])"
3023,0,"array([15.51056555,  0.25096899])"
3024,1,"array([ 17.88174784, -14.72078855])"
3025,0,"array([ 18.14140393, -18.27524735])"
3026,1,"array([20.90223251,  1.10381454])"
3027,1,"array([11.68097179, -1.8858564 ])"
3028,1,"array([35.15306485, 15.76338037])"
3029,0,"array([6.9617718 , 7.82996859])"
3030,0,"array([ 41.98787093, -14.04094958])"
3031,0,"array([12.11100384, 10.91459789])"
3032,0,"array([ -8.71737796, -13.20707968])"
3033,1,"array([16.00804858, -3.20897626])"
3034,1,"array([13.92012744,  0.09299706])"
3035,1,"array([ 12.81492369, -35.02659998])"
3036,1,"array([ 32.49162043, -10.31758904])"
3037,1,"array([35.58068549,  3.42693263])"
3038,1,"array([ 8.77319883, 14.76296845])"
3039,1,"array([-8.69520978, -3.40279703])"
3040,1,"array([ 32.53734549, -11.53298043])"
3041,0,"array([ 30.77759645, -13.95503935])"
3042,0,"array([17.07831798, -5.66196562])"
3043,0,"array([22.77728398, -6.07412002])"
3044,1,"array([  9.85060651, -10.81283675])"
3045,1,"array([10.44007834, -7.55822602])"
3046,1,"array([48.47728459, 12.38770583])"
3047,0,"array([ 9.87992231, -7.27401689])"
3048,0,"array([ 7.37613603, -0.97251244])"
3049,0,"array([-0.66027251, -3.47483204])"
3050,0,"array([ 3.72226328, -7.12747423])"
3051,0,"array([19.89610214,  6.67958537])"
3052,1,"array([18.33468919, -3.70365249])"
3053,1,"array([ 35.80251906, -15.78567352])"
3054,0,"array([ 0.84894446, -8.67872589])"
3055,0,"array([8.23812949, 9.82474039])"
3056,0,"array([16.58226605, -8.80190682])"
3057,0,"array([ 8.91073375, -1.5870658 ])"
3058,1,"array([8.04976761, 5.45976744])"
3059,0,"array([ 1.37587018e+01, -1.56517228e-03])"
3060,1,"array([ -49.59012587, -106.11238654])"
3061,1,"array([20.15039825, 12.01550769])"
3062,1,"array([-9.01850628, -4.84588595])"
3063,0,"array([-8.15647136, -4.87328575])"
3064,1,"array([ 9.69338656, -8.82627743])"
3065,0,"array([ 8.74500077, -8.85622509])"
3066,1,"array([10.82207459,  2.63375383])"
3067,0,"array([15.4064983, -1.9629007])"
3068,1,"array([ 25.45281722, -10.00632233])"
3069,0,"array([ 7.35163502, -7.81552914])"
3070,0,"array([ 26.08539273, -15.42998955])"
3071,0,"array([24.62370474, -4.46366583])"
3072,1,"array([22.86993416, -2.19926333])"
3073,0,"array([11.59423038,  5.24564552])"
3074,0,"array([16.27939782,  3.68331341])"
3075,1,"array([12.11950672, -2.0502286 ])"
3076,1,"array([5.80905896, 3.55835477])"
3077,0,"array([6.10451305, 2.82773708])"
3078,0,"array([ 8.14100457, -0.71798946])"
3079,1,"array([ 2.31938751, -2.00704379])"
3080,1,"array([17.22886978, -2.5169216 ])"
3081,1,"array([ 34.14462791, -12.0304747 ])"
3082,0,"array([12.29641245,  8.16302029])"
3083,0,"array([ 33.25647747, -10.81747598])"
3084,1,"array([20.80182543, 12.71307388])"
3085,1,"array([11.88314178, -2.59016888])"
3086,0,"array([ 39.91162048, -13.93896171])"
3087,0,"array([ 2.48612049, -6.90163821])"
3088,1,"array([8.51163888, 0.48070079])"
3089,0,"array([11.70254521, -3.72751173])"
3090,1,"array([-10.31826047,  -7.73181947])"
3091,0,"array([15.62116272, -7.04924021])"
3092,1,"array([-101.60268161,   10.34300281])"
3093,0,"array([-102.23079633,    9.6981709 ])"
3094,1,"array([10.45714165, -2.63767826])"
3095,0,"array([11.00673509, -8.95027286])"
3096,1,"array([38.76555873,  7.71579223])"
3097,0,"array([24.91098721,  6.06189654])"
3098,0,"array([40.22740944, -5.56406456])"
3099,1,"array([-50.51821828, -92.44080992])"
3100,0,"array([-49.80717082, -93.01742958])"
3101,0,"array([ 8.98266387, -3.40003237])"
3102,0,"array([19.29132854,  7.89002034])"
3103,1,"array([39.40504058, -8.66287984])"
3104,1,"array([32.61690128,  2.64394384])"
3105,1,"array([25.62884882, -6.14804714])"
3106,1,"array([-11.3936246 ,  -5.58828316])"
3107,1,"array([ 34.77139046, -11.2291246 ])"
3108,1,"array([ 7.8330165 , 13.74026024])"
3109,1,"array([34.32415702, 26.94443679])"
3110,1,"array([-7.34213683, -5.69414609])"
3111,0,"array([11.71787568, -8.70305717])"
3112,1,"array([26.94591604, -3.60893312])"
3113,1,"array([-9.94187001, -9.84730557])"
3114,0,"array([11.22811274, -3.65926439])"
3115,0,"array([11.4311573 , -5.42144606])"
3116,0,"array([13.26074005, -9.80790237])"
3117,0,"array([ 6.04705871, -6.50074693])"
3118,0,"array([37.86425138, -5.07205377])"
3119,1,"array([ 6.89725078, -2.81226884])"
3120,0,"array([4.48157602, 0.42248535])"
3121,1,"array([11.10651547,  0.86045109])"
3122,1,"array([15.15488585, -0.62217632])"
3123,0,"array([18.36415298, -2.19985969])"
3124,0,"array([ 16.88458248, -11.75702411])"
3125,0,"array([24.04384527,  2.27120321])"
3126,0,"array([5.07058045, 8.82658757])"
3127,0,"array([9.24663019, 2.25820574])"
3128,0,"array([4.68628697, 2.33974273])"
3129,1,"array([130.59785534, -28.04334299])"
3130,0,"array([130.46264101, -28.93595782])"
3131,1,"array([17.02499115, -0.42565864])"
3132,0,"array([7.47019189, 3.14525657])"
3133,0,"array([26.23618993,  6.64095331])"
3134,0,"array([20.70407051,  9.75915516])"
3135,1,"array([20.99897666, -1.77826225])"
3136,0,"array([23.78687161, -0.33082356])"
3137,1,"array([12.80613507, -4.25777117])"
3138,0,"array([10.86644747, -7.65741392])"
3139,1,"array([ 38.9770983 , -11.84856202])"
3140,0,"array([24.131023  , -7.80539339])"
3141,0,"array([-1.3046269 ,  0.67720053])"
3142,0,"array([7.89580627, 8.47554881])"
3143,0,"array([12.27421138, -1.93576356])"
3144,1,"array([ 2.43514656, 12.42534103])"
3145,0,"array([ 4.86696309, 10.00162455])"
3146,0,"array([ 5.6243665 , 17.32365978])"
3147,1,"array([ 20.9237656 , -22.64439628])"
3148,1,"array([7.30970524, 6.66392211])"
3149,0,"array([11.5748176 ,  2.92031476])"
3150,1,"array([  7.86624132, -12.9708133 ])"
3151,0,"array([10.42494781, -6.78436645])"
3152,1,"array([  3.62670887, -19.39036728])"
3153,0,"array([ -1.23955873, -18.32914067])"
3154,0,"array([ 9.07243227, 16.35641883])"
3155,0,"array([ 9.64493456, 10.86069268])"
3156,0,"array([ -5.30691392, -10.54828097])"
3157,0,"array([-5.83559987, -2.86046016])"
3158,0,"array([ 6.41856881, -7.46239712])"
3159,0,"array([  7.12227639, -13.65200015])"
3160,0,"array([ 7.54224189, -3.59783501])"
3161,1,"array([16.50992162, -6.8521658 ])"
3162,0,"array([ 15.11004968, -10.250927  ])"
3163,1,"array([3.78624738, 0.76642675])"
3164,0,"array([ 12.15244087, -13.2002404 ])"
3165,0,"array([21.9054789 , -2.90566744])"
3166,0,"array([ 26.36019857, -18.63621057])"
3167,0,"array([10.42375633, -6.12402346])"
3168,0,"array([19.63745791, -3.42746107])"
3169,1,"array([  93.83142771, -101.71728909])"
3170,0,"array([  92.95470761, -101.50223269])"
3171,1,"array([8.52755488, 0.18647896])"
3172,1,"array([ 9.5820658 , -4.39318467])"
3173,0,"array([18.01415185, -0.08562789])"
3174,0,"array([18.44472354,  1.91574799])"
3175,0,"array([3.74052597, 7.66211032])"
3176,0,"array([ 31.40791326, -12.66484568])"
3177,0,"array([18.52542856, -0.11466944])"
3178,1,"array([22.78517911, 14.45756269])"
3179,1,"array([ 28.29177514, -24.21320975])"
3180,0,"array([ 29.47967942, -25.45888623])"
3181,0,"array([8.66548275, 3.88039302])"
3182,0,"array([19.99616794, -3.65503596])"
3183,0,"array([29.89380412, -9.25777974])"
3184,0,"array([8.91614528, 0.33633337])"
3185,0,"array([22.12682628, 16.50478436])"
3186,0,"array([18.27707955,  1.74620407])"
3187,1,"array([10.0657876 , -3.71722024])"
3188,1,"array([ 28.62606045, -10.27732488])"
3189,0,"array([34.57021921, -7.66797394])"
3190,1,"array([ 11.01716068, -18.82275657])"
3191,1,"array([ 36.53020623, -13.28593676])"
3192,0,"array([ 33.02301871, -13.50159746])"
3193,1,"array([27.07909363, -9.83622992])"
3194,0,"array([12.64842955, -6.70258371])"
3195,0,"array([5.42906259, 8.15869695])"
3196,0,"array([25.18380873, 12.88315288])"
3197,1,"array([-6.85222428, -9.56926266])"
3198,0,"array([ -6.25770704, -12.65044807])"
3199,0,"array([26.4501132 , -6.69141632])"
3200,0,"array([14.03417245, -3.40417983])"
3201,1,"array([ 34.83715886, -13.76560247])"
3202,0,"array([ 17.32569056, -11.16316253])"
3203,0,"array([ 9.21585398, -6.28645696])"
3204,0,"array([14.40996249,  4.7172116 ])"
3205,0,"array([ 4.62987439, -0.86127192])"
3206,0,"array([ 31.47764125, -15.85233799])"
3207,0,"array([15.7595319, -5.5208053])"
3208,1,"array([ -40.57810175, -105.68233241])"
3209,0,"array([ -41.0856324 , -104.92993992])"
3210,0,"array([36.19461193,  6.58897542])"
3211,0,"array([12.9614791 , -2.36148461])"
3212,1,"array([17.85035876,  6.83041513])"
3213,1,"array([17.42822381, -4.36269589])"
3214,0,"array([17.9104872 , -2.83452147])"
3215,1,"array([34.25188255, 12.68464758])"
3216,0,"array([15.81637744, -7.08774581])"
3217,0,"array([33.63614053, -8.01637412])"
3218,1,"array([37.85225619, 11.44194231])"
3219,0,"array([35.15525819,  8.51285269])"
3220,1,"array([37.71855535, 12.04915731])"
3221,1,"array([37.21118906, 11.87628737])"
3222,0,"array([9.8303964 , 1.13950436])"
3223,0,"array([20.66171253, -4.21004273])"
3224,0,"array([30.7252644, -9.3206016])"
3225,0,"array([10.20663864, -0.95750663])"
3226,1,"array([8.16146007, 2.91339346])"
3227,1,"array([27.81543795, -7.87233784])"
3228,1,"array([16.44110938, -1.1773253 ])"
3229,1,"array([23.683432  , 14.22423374])"
3230,1,"array([ 11.93849927, -17.14884803])"
3231,0,"array([6.85250138, 9.49499367])"
3232,0,"array([26.01277948,  9.97837602])"
3233,0,"array([22.8332432 , -0.06371821])"
3234,0,"array([6.645694 , 1.2398501])"
3235,0,"array([24.36408022,  7.20982326])"
3236,0,"array([ 33.24125282, -14.35223894])"
3237,1,"array([36.71034676,  1.00853542])"
3238,1,"array([ 33.86163579, -12.79697053])"
3239,1,"array([ 3.21237576, -6.82329319])"
3240,0,"array([ 9.20174278, -4.65523258])"
3241,1,"array([41.22478212,  4.46207092])"
3242,0,"array([43.06592403,  7.36498975])"
3243,1,"array([38.65434547,  3.35467162])"
3244,1,"array([-11.58624026,   3.34805178])"
3245,0,"array([-6.79742312,  1.12887213])"
3246,1,"array([ 15.52450167, -11.34581443])"
3247,0,"array([ 16.66420902, -16.61108696])"
3248,0,"array([-5.47478362,  3.86372476])"
3249,0,"array([14.62781815, -2.69375639])"
3250,0,"array([10.2979003,  9.9306181])"
3251,0,"array([16.4088979,  3.3042601])"
3252,0,"array([35.79927478,  1.44931215])"
3253,1,"array([-17.0042387 ,  -7.35391912])"
3254,1,"array([ 11.76092764, -10.00978519])"
3255,1,"array([30.13079549, -6.32124422])"
3256,0,"array([33.2148971 , -7.46133398])"
3257,0,"array([11.60985242, -6.36067635])"
3258,0,"array([19.63355443, -2.95200352])"
3259,0,"array([39.15207533,  3.95595856])"
3260,0,"array([ 17.53667936, -26.32420532])"
3261,0,"array([21.67702173, 16.03726299])"
3262,1,"array([19.3857085 , -3.50871095])"
3263,1,"array([39.01514217, -5.93214461])"
3264,0,"array([ 15.39654161, -15.31352206])"
3265,0,"array([8.50737047, 1.94042904])"
3266,0,"array([7.08777497, 3.49869837])"
3267,0,"array([18.70002533,  3.11924089])"
3268,1,"array([-9.25633296e+00, -2.14537522e-03])"
3269,1,"array([116.9817912 ,  54.01618932])"
3270,0,"array([116.41386216,  54.78096937])"
3271,0,"array([11.94849097, -2.01571886])"
3272,0,"array([ 5.97240729, -7.76213223])"
3273,0,"array([ 15.88377497, -10.39387171])"
3274,0,"array([25.35099326,  0.80291917])"
3275,1,"array([11.70119848, -0.63983252])"
3276,1,"array([17.27989261,  2.72002932])"
3277,1,"array([ 20.97898408, -20.66600062])"
3278,1,"array([11.00671417,  9.7849308 ])"
3279,0,"array([4.9814371 , 1.16823682])"
3280,0,"array([ 8.9647304 , 10.57789137])"
3281,1,"array([10.90517041, -5.03398775])"
3282,1,"array([27.80921369, 12.28955854])"
3283,0,"array([ 2.85783191, -6.30177358])"
3284,0,"array([14.19700728, -2.71130761])"
3285,0,"array([10.59252403, -9.10856499])"
3286,0,"array([ 3.70128585, -1.62408345])"
3287,1,"array([20.82215327, -8.15625734])"
3288,1,"array([114.69645637, -77.49034865])"
3289,0,"array([114.81119768, -78.45359676])"
3290,0,"array([18.57789182, -1.84820172])"
3291,0,"array([-0.13490497,  2.50918818])"
3292,0,"array([16.32067179, -1.57848906])"
3293,1,"array([12.81416041,  1.49969743])"
3294,1,"array([-8.00050341, -7.62817474])"
3295,1,"array([-73.72965815, -70.81355446])"
3296,0,"array([-72.88354558, -71.10994446])"
3297,1,"array([ 37.47389439, -10.37517373])"
3298,0,"array([ 35.62510047, -12.40021175])"
3299,0,"array([15.42374482, -0.36410376])"
3300,0,"array([21.58254551, 17.5686862 ])"
3301,1,"array([16.0733881 , 14.63734706])"
3302,1,"array([26.61282714, -9.8975621 ])"
3303,1,"array([39.2660871 ,  6.52503008])"
3304,1,"array([12.06774547, -5.64485093])"
3305,0,"array([  8.7943781 , -11.57395045])"
3306,1,"array([16.88778207, -8.06644228])"
3307,0,"array([ 21.27414117, -13.37709163])"
3308,0,"array([13.34795176,  8.77520872])"
3309,0,"array([ 7.50826455, -1.20057305])"
3310,0,"array([17.54884939, 15.66259062])"
3311,0,"array([17.16019812,  1.70383301])"
3312,0,"array([9.84819864, 9.08884507])"
3313,0,"array([42.89189733,  5.19839866])"
3314,1,"array([6.37956455, 5.28115637])"
3315,1,"array([ 5.94488698, 99.98428098])"
3316,0,"array([ 5.34518754, 99.30600655])"
3317,1,"array([127.89413932,  43.19384329])"
3318,0,"array([128.71445421,  43.96462367])"
3319,1,"array([38.92606087, 11.38532171])"
3320,1,"array([23.96472483, 11.90851254])"
3321,0,"array([41.17123217, 12.29951666])"
3322,0,"array([ 6.31279946, 11.98889536])"
3323,0,"array([13.53244493, -4.77352087])"
3324,0,"array([2.63457982, 0.88265539])"
3325,0,"array([40.71147852,  1.49851081])"
3326,0,"array([15.46099252, -6.18012452])"
3327,1,"array([14.99667784,  8.46296327])"
3328,1,"array([11.85732541, -0.27921605])"
3329,1,"array([-2.04501486,  3.59106431])"
3330,1,"array([ 32.22426788, -15.55715578])"
3331,0,"array([ 34.8542532 , -19.85802756])"
3332,1,"array([55.09592839, 98.70075496])"
3333,0,"array([55.73476057, 98.06564158])"
3334,1,"array([ 44.88078874, -22.65924684])"
3335,0,"array([ 42.19578655, -20.42570282])"
3336,1,"array([24.06712822,  7.41911112])"
3337,0,"array([27.22930167, 11.4426081 ])"
3338,1,"array([15.49590406, -5.652236  ])"
3339,0,"array([ 5.2692446 , -5.92582586])"
3340,0,"array([12.17526066,  2.31148585])"
3341,0,"array([11.36177127, 11.22983424])"
3342,1,"array([27.66790699, 14.24085313])"
3343,1,"array([ 6.71788829, -6.76667308])"
3344,1,"array([ 8.86429145, 12.86674936])"
3345,1,"array([ 8.88768837, -5.01180684])"
3346,0,"array([10.96218541, 15.61846557])"
3347,1,"array([-7.27645996, -4.63845486])"
3348,1,"array([ -7.64391737, -16.52599653])"
3349,0,"array([14.2941621 , -1.04370617])"
3350,1,"array([ 6.59103971, -2.97765848])"
3351,0,"array([ 9.71715825, -1.50944356])"
3352,1,"array([23.99865402,  9.02872031])"
3353,0,"array([25.72917393, -2.81371901])"
3354,0,"array([11.53558777,  9.11796807])"
3355,0,"array([ 24.86065188, -20.36248609])"
3356,0,"array([30.4319664 , -6.23154201])"
3357,1,"array([-27.72823205,  99.80152024])"
3358,0,"array([-28.58934583,  99.54063486])"
3359,1,"array([17.72838446, 13.02576465])"
3360,0,"array([17.55734976, 17.9528577 ])"
3361,1,"array([ 34.28540064, -12.45957371])"
3362,0,"array([ 37.55414606, -16.38627708])"
3363,1,"array([20.27339764, 28.93361725])"
3364,0,"array([20.34070098, 25.32381194])"
3365,1,"array([ 14.19341825, -27.54463094])"
3366,0,"array([ 13.87155743, -32.08857925])"
3367,1,"array([28.12088947,  7.96698064])"
3368,0,"array([28.03569372,  9.30961482])"
3369,1,"array([10.4284337, -1.761656 ])"
3370,1,"array([ -3.24042364, -11.59727399])"
3371,1,"array([28.1936901 , 22.06191275])"
3372,0,"array([25.66255082, 18.86101974])"
3373,0,"array([20.21159459, -4.48458914])"
3374,0,"array([23.58998265, 31.86943178])"
3375,0,"array([ 9.97134322, 13.76345403])"
3376,0,"array([ 30.74756781, -18.95137691])"
3377,0,"array([25.02792271,  6.98758035])"
3378,1,"array([ 2.43927606, -3.32152539])"
3379,1,"array([ 15.53851347, -31.94988639])"
3380,0,"array([ 14.93899548, -35.70804477])"
3381,0,"array([ 13.53023328, -30.94195503])"
3382,0,"array([11.46829932, 15.83686242])"
3383,0,"array([29.09806969, -9.53950467])"
3384,0,"array([11.16252784, -1.57059011])"
3385,0,"array([24.50857675,  3.97178019])"
3386,0,"array([ 5.05218114, 18.66774787])"
3387,0,"array([13.2814086 ,  6.15549609])"
3388,0,"array([ 21.02922735, -11.57283643])"
3389,1,"array([-75.20927736, -76.741547  ])"
3390,0,"array([-74.24178882, -76.48723074])"
3391,1,"array([80.40780915, 82.85333993])"
3392,0,"array([81.25069673, 83.19014243])"
3393,1,"array([ 32.45904107, -38.05033377])"
3394,0,"array([ 30.52728965, -34.30224738])"
3395,1,"array([ 20.51006533, -23.01033053])"
3396,0,"array([14.54495462, -5.73161046])"
3397,0,"array([33.23844909, -9.63238936])"
3398,0,"array([24.25954005, 31.36471065])"
3399,0,"array([ 37.60163122, -15.93682069])"
3400,1,"array([12.64486411, -4.74123466])"
3401,1,"array([ 5.24995244, -6.43256114])"
3402,0,"array([ 2.36144623, -5.39275203])"
3403,0,"array([ 42.30777897, -15.03728853])"
3404,1,"array([ 32.31362179, -13.81420184])"
3405,1,"array([9.50854673, 7.6077704 ])"
3406,0,"array([ 28.58876797, -11.44360719])"
3407,1,"array([24.82134718,  9.73606291])"
3408,0,"array([27.41775361, 13.55165328])"
3409,1,"array([29.61812513, 14.98435357])"
3410,0,"array([22.4824892 , 13.42346105])"
3411,0,"array([31.25635228, -5.33430357])"
3412,0,"array([26.61646312, -5.34109132])"
3413,0,"array([13.68152094,  0.21619132])"
3414,0,"array([ 6.17153084, -7.36516956])"
3415,1,"array([17.4699716 , -1.02769344])"
3416,0,"array([ 9.48396696, -1.94143697])"
3417,0,"array([ 2.05716115, -9.61683451])"
3418,0,"array([-0.89555042,  0.67169905])"
3419,0,"array([21.63140103,  4.55643797])"
3420,0,"array([19.5485235 ,  3.13691218])"
3421,0,"array([16.00900631,  0.23251888])"
3422,0,"array([15.39135705,  5.32957016])"
3423,0,"array([11.36570077, -2.3517193 ])"
3424,0,"array([-8.79386097, -5.18672771])"
3425,1,"array([16.58880085, -5.69618738])"
3426,0,"array([16.82859031, -7.85625904])"
3427,1,"array([ 16.4443449, -26.1988991])"
3428,1,"array([ 37.40590744, -11.87726188])"
3429,0,"array([  9.65953793, -12.26480533])"
3430,0,"array([14.34573337, -2.50735977])"
3431,0,"array([ 9.43752596, 11.71133727])"
3432,0,"array([10.24873854, -4.21265387])"
3433,0,"array([ 27.97353633, -18.67929491])"
3434,0,"array([ 18.41435891, -21.36484035])"
3435,0,"array([ 33.7590223 , -40.54687724])"
3436,0,"array([ 21.68058533, -27.13222301])"
3437,1,"array([ 10.16363521, -34.78043553])"
3438,1,"array([ 38.64560671, -12.45723523])"
3439,0,"array([10.08192607, -1.67602856])"
3440,0,"array([ 9.96778848, 16.14645107])"
3441,0,"array([ 13.19019252, -10.6307541 ])"
3442,0,"array([10.71853746, -0.06875512])"
3443,0,"array([40.70072174,  0.88425087])"
3444,0,"array([13.67255048,  2.94701222])"
3445,1,"array([28.10924011, -9.41518086])"
3446,1,"array([40.09274366,  0.74367428])"
3447,1,"array([ 14.21616094, -35.77506943])"
3448,0,"array([ 14.94469689, -31.99427963])"
3449,0,"array([ 4.80286379, -5.39871676])"
3450,1,"array([32.78062058,  9.78467745])"
3451,1,"array([33.07191985,  8.33556051])"
3452,0,"array([11.14350203, 13.17847614])"
3453,0,"array([ 5.72950438, -1.14292009])"
3454,0,"array([9.69783113, 2.41432758])"
3455,0,"array([15.60238357,  0.95710807])"
3456,0,"array([6.14728297, 3.51325912])"
3457,0,"array([ 8.41971064, -5.67240668])"
3458,0,"array([117.33966801,  53.13628948])"
3459,1,"array([16.90428859,  1.53751712])"
3460,0,"array([14.72344123, -4.34521231])"
3461,1,"array([-8.55188089, -9.35385381])"
3462,1,"array([38.2946511 , -3.78712902])"
3463,1,"array([ 7.97640318, -8.93036049])"
3464,0,"array([ 10.5309959 , -29.98796498])"
3465,0,"array([9.34667871, 1.29249579])"
3466,0,"array([37.10061913,  7.59490921])"
3467,0,"array([13.72963537, -2.63939779])"
3468,0,"array([31.10693582, -9.48958543])"
3469,0,"array([ 30.56794456, -11.52658392])"
3470,0,"array([-14.85284432,   4.83022646])"
3471,1,"array([39.75473489, 10.91953889])"
3472,1,"array([-4.78307751, -8.30318537])"
3473,0,"array([12.53716163, -6.11785103])"
3474,1,"array([ 16.18021338, -26.54975471])"
3475,1,"array([29.54988189, -7.80176992])"
3476,1,"array([42.47792646,  8.24521504])"
3477,0,"array([44.87818478,  8.97290694])"
3478,0,"array([7.02732809, 1.25064575])"
3479,0,"array([18.80252286, -5.78485651])"
3480,0,"array([-16.27076424,  -3.03763828])"
3481,0,"array([ 0.84006495, -2.30302067])"
3482,1,"array([  9.92359703, -33.933274  ])"
3483,0,"array([10.57287067, -5.9043043 ])"
3484,0,"array([ 7.10875084, -3.13630043])"
3485,0,"array([13.6847872 , -3.24790862])"
3486,0,"array([-0.28088081,  6.19262684])"
3487,0,"array([5.54292221, 1.1125423 ])"
3488,0,"array([19.73581536, -0.31553633])"
3489,0,"array([2.59894929e+01, 6.86405410e-03])"
3490,1,"array([ 16.75415608, -39.27313833])"
3491,0,"array([ 16.7543924 , -35.69890031])"
3492,1,"array([ 46.27796861, -15.95479091])"
3493,1,"array([ 17.33731307, -39.34177426])"
3494,1,"array([102.76253135, -79.19044354])"
3495,0,"array([103.59108028, -79.52706478])"
3496,1,"array([ 7.92188116, -2.94211428])"
3497,1,"array([25.85396072,  4.55857273])"
3498,0,"array([30.8297722 , -5.21651795])"
3499,0,"array([  6.8829623 , -10.39171065])"
3500,0,"array([18.5270611 , -3.32810751])"
3501,0,"array([33.03635494,  0.93470613])"
3502,0,"array([20.50593355, 11.96602237])"
3503,1,"array([ -9.20149501, -13.74505238])"
3504,0,"array([ -4.98569462, -10.93860206])"
3505,1,"array([42.1593194 , -7.94389027])"
3506,0,"array([17.63075497, -8.00351947])"
3507,0,"array([ 10.60937877, -10.78969851])"
3508,0,"array([11.95847512, -6.18462115])"
3509,0,"array([ 8.37303376, 13.21232536])"
3510,0,"array([13.03882849, -4.36303708])"
3511,0,"array([10.87539509,  3.2825083 ])"
3512,1,"array([37.27667876, -5.54979019])"
3513,1,"array([10.59132131, -5.7207144 ])"
3514,1,"array([20.66893741, -7.11943267])"
3515,0,"array([ 8.15558059, 10.48256531])"
3516,0,"array([9.96152621, 4.34777476])"
3517,0,"array([18.21131502,  8.30363615])"
3518,0,"array([16.02108048, -3.39056651])"
3519,0,"array([ 8.46607819, 11.36351577])"
3520,0,"array([ 9.497712  , 10.11187113])"
3521,0,"array([14.4867717 , -8.44632913])"
3522,0,"array([12.36004754, -6.02811717])"
3523,0,"array([-1.05702827,  4.20571907])"
3524,0,"array([19.45046524,  1.36964274])"
3525,1,"array([14.31811159, 13.01711295])"
3526,0,"array([14.91091644,  8.01411351])"
3527,1,"array([114.93917338, -79.47589422])"
3528,0,"array([114.87717778, -80.43348044])"
3529,1,"array([ 13.37238669, -16.24508492])"
3530,0,"array([ 12.95589516, -10.98370366])"
3531,1,"array([41.48569235,  6.83393768])"
3532,0,"array([19.88474221,  2.68294655])"
3533,0,"array([21.396598  ,  0.15949162])"
3534,0,"array([14.01646306,  0.62724547])"
3535,0,"array([28.34821268, 12.93270191])"
3536,0,"array([12.44125501,  1.61399998])"
3537,1,"array([-10.00486408, -12.2881471 ])"
3538,1,"array([10.8156596 , -9.31655075])"
3539,0,"array([14.07066472, -8.19180533])"
3540,1,"array([35.84265244, -5.45934443])"
3541,1,"array([13.90990784,  2.2687632 ])"
3542,1,"array([ 7.76967842, -7.39961105])"
3543,0,"array([1.93912478, 1.05592944])"
3544,0,"array([14.8808442 , -4.32857814])"
3545,0,"array([25.27527998,  8.56253143])"
3546,0,"array([18.40483985,  6.75002315])"
3547,0,"array([ 29.21893883, -14.63763704])"
3548,0,"array([11.54049115, -3.69638377])"
3549,1,"array([31.33497513, 11.85957985])"
3550,0,"array([15.15090119, -9.38401911])"
3551,0,"array([15.62754264,  9.34451281])"
3552,0,"array([20.83427747, -3.88007385])"
3553,0,"array([10.94322407,  6.59453412])"
3554,0,"array([ 22.12541119, -26.18645104])"
3555,0,"array([28.98106986, -8.59846712])"
3556,0,"array([15.35351509, 11.74774445])"
3557,0,"array([11.52609846,  0.80201875])"
3558,1,"array([  7.66774467, -11.54292103])"
3559,1,"array([ 25.89262829, -24.68473381])"
3560,1,"array([17.64595251, 13.54516931])"
3561,0,"array([16.95174039, 18.28377606])"
3562,1,"array([14.97014187, 11.17443565])"
3563,1,"array([ 29.04642962, -12.43929321])"
3564,0,"array([30.32768135, -9.35146981])"
3565,0,"array([  9.67367292, -10.03191116])"
3566,0,"array([ 1.26318959, -2.55229704])"
3567,0,"array([2.93718776, 6.09026512])"
3568,0,"array([16.53396337,  7.66101402])"
3569,0,"array([6.24653619, 4.9432665 ])"
3570,1,"array([13.44941614,  9.82281864])"
3571,0,"array([31.78877377, -9.59890776])"
3572,0,"array([ 41.64197587, -16.10664444])"
3573,1,"array([35.71699507, 15.23264017])"
3574,1,"array([25.63136705, 17.27292851])"
3575,0,"array([16.34548106, -2.97020457])"
3576,0,"array([ 7.84539951, -3.76252268])"
3577,0,"array([ 7.52731315, -5.60813651])"
3578,0,"array([15.41767098, -4.60913595])"
