node,betweenness
0,0.007821275477195733
1,0.0036816593012984813
2,0.008598131433728692
5,0.00011548118473319523
7,0.001738683564452624
9,0.012134930060866847
11,0.01357293021112689
12,0.00036963586534317417
15,0.0005611309547027454
16,0.00039870791734006674
17,0.0002353145305881989
18,0.12520012735595548
19,0.001864867414725984
21,0.020492443668335733
22,8.767731213603491e-05
24,0.002243851299432336
26,0.0005051485201403222
30,9.933111222599879e-05
31,0.002684149736631804
32,0.0013627164095304835
33,0.0029704412361213615
34,0.000819272714486125
35,0.02174012083443899
36,0.0009099859712457614
37,0.001440632583256458
39,1.9022690995983907e-06
40,0.002019152967607047
41,0.0002649438129273981
43,0.0002181556790130336
44,0.0018819494069435897
45,0.00013562794383348728
46,0.010882987200419037
47,0.023407690278309655
48,0.006196776095817487
50,0.0028830041094777
51,0.0002628590028535958
54,0.012052997985708387
55,0.00010507634920357373
56,0.0008472687354771842
57,0.00044588034804222883
58,0.0006598760143273529
59,9.607419694941366e-09
61,0.00023112569560120445
63,0.00012080369524419274
65,0.058179295972127724
66,0.0016708936110851177
68,0.003780164175430715
69,0.0031725237019847585
71,0.01590569817983591
73,0.00148288601507481
74,0.00013684808613474483
75,1.5544805066415133e-05
76,0.005594727140633986
78,0.00024235676922459092
79,0.020123710900443882
80,0.00014212255954726763
81,0.00024211658373221739
82,0.00013237102855690215
83,0.002908598275545024
84,0.0003884856227846491
86,0.0016456645269662016
88,0.00012634717640817392
89,1.9214839389882733e-08
90,0.008356255035488848
91,0.0013951222361615206
95,0.0002550097409628287
97,3.016729784211589e-06
98,0.08561351348910548
99,0.00831568290211711
101,0.0004528841569998411
102,2.88222590848241e-08
103,0.0001336392079566344
104,0.00300922638942984
105,0.00103805287577933
106,6.1103189259827095e-06
107,0.00019129333354597755
108,0.001147798430954645
109,0.01040012789397098
110,0.0008955844491230444
111,1.5631271843669604e-05
112,1.8599964529406488e-05
114,0.0004137723514217348
116,9.607419694941366e-09
118,0.00011678779381170725
120,3.8429678779765466e-08
121,0.0008829410848045015
122,0.003322053582116826
123,0.0030869792370210006
124,0.001501101682816419
126,0.0006473287242057595
127,0.00029305512295479654
128,0.00039639252919358584
132,0.0004410670307750632
134,0.0001244641221479654
135,0.00024888981461715105
138,0.0018474491628190553
140,0.0008823742470425
141,0.0027081010339312928
142,0.0004659118181061816
144,0.0006554181715889
145,0.0007383205961365491
146,1.0568161664435504e-07
147,0.0013529360562810331
150,0.00030920519546199295
151,0.00013262082146897063
152,0.0002998763909382049
153,0.0004037133830011312
154,0.006766957239872867
155,0.010046546026938052
156,0.0024885426716427976
157,0.00037011623632792124
160,0.00010000363160464468
161,0.0007300678226185945
162,0.0008230196081671522
164,0.0028153390525662283
165,0.0014264712466261144
166,3.747854422996627e-05
167,0.00034664531001317943
168,0.002062780260441776
169,0.0021723240598034974
170,0.00019115882967024839
171,0.009186211200675748
172,0.00012363788405420046
173,0.0015221035022695607
175,0.0005260542653965145
177,0.000463385066726412
181,0.0028780562883348056
182,0.00029886761187023603
184,0.00017619046978552974
187,0.004894038807442522
189,0.00026657707427553813
190,0.00019224446809577676
191,0.000514842406612518
193,0.002071820842374716
195,0.0069230105579778
198,5.76445181696482e-08
200,0.0010143801936509944
201,0.0001967407405130093
203,0.00020181345811193834
205,0.00024001255881902524
207,0.011517096115124557
208,9.607419694941366e-09
209,0.0023934868611810477
211,0.028904056656106833
212,0.007831228763999692
213,0.0077924916477896886
214,0.00016428687678349737
216,0.00011872849259008541
217,5.255258573132927e-06
218,7.685935755953093e-08
219,9.607419694941366e-09
220,0.0001483385600898947
222,0.00020766437670615765
223,0.00047237761156087714
225,0.0015697755187958598
233,0.0013591808790827452
234,0.00026522242809855136
236,0.00018070595704215218
237,0.00042568555184346207
238,0.00010744938186822425
239,0.00252422462838981
244,0.0005024296203666538
245,0.000138298806508681
247,0.0011305050755037506
250,0.0009445918969869403
251,0.0002469779380978577
252,7.885770085607873e-05
255,2.4479705382710603e-05
256,7.685935755953093e-08
257,0.004730856783923943
262,0.00012577073122647744
264,0.0005437703473139864
265,0.003717908095807495
266,3.8429678779765466e-08
267,0.00015860889174378702
268,0.0002579976484879555
270,0.003880773074476141
271,0.0010308473110081239
273,0.0009571584019479236
274,0.00036832925626466214
275,3.6508194840777193e-06
276,8.64667772544723e-08
278,0.0013014787163949271
279,0.0032135954211806326
284,0.0008217802510265047
285,0.00012772103742455054
286,0.0001309395230223559
288,0.00011091766037809808
289,1.9214839389882733e-08
293,0.0054478585157574175
294,3.2549937926461354e-05
295,1.9214839389882733e-08
297,0.0005125846629842068
298,0.0019994673646521123
299,0.0005217885710519606
300,0.0015810738443571108
301,0.00043575412768376065
304,0.00027690505044760007
305,6.715586366764016e-06
307,0.00011698954962530103
309,0.0032953065256861092
310,1.285472755183155e-05
311,0.002775045534365644
313,8.215304581144363e-05
314,5.139008794824137e-05
315,5.668377620015406e-07
316,0.002977714052830432
317,0.0004716282328246717
318,4.749908297179012e-05
319,0.0008740446141669858
320,0.0006212541871536885
321,0.004623186431402735
322,0.0006851435281250486
324,0.00013315883697188733
325,0.013937483751451442
326,1.1144606846131985e-06
328,0.007051990167382388
329,0.0005011326187078366
330,0.0007312591426607672
332,0.00041905643225395253
334,0.00045011722012769796
336,1.1913200421727295e-06
337,0.0001462057129176177
338,0.00798311246195702
339,0.006225963436850719
340,0.0008716043295644707
341,0.001197968376601629
342,3.8045381991967813e-06
343,0.0021616790387815024
344,0.0005727847547927094
345,0.0029842086685442125
346,0.0027805794081099304
348,0.0010601979781761698
349,0.010819184326224932
350,0.004107421712499503
351,1.355606918956227e-05
352,0.004068674988869804
353,0.0010351994721299323
354,0.0015252931656082813
355,0.005121523290979344
356,0.00028433158587178975
357,0.0024146039696705287
358,0.006726577254895029
359,0.0034199627962279732
360,1.4113299531868869e-05
361,0.0008273333396101809
362,5.76445181696482e-08
363,0.0036576599669005177
367,0.0001188437816264247
368,0.005629650111225098
370,0.028688677521385635
371,0.0074245851179916035
372,0.00039253995389591437
374,0.0007114198209907133
375,0.0011452428573157907
376,0.0032990342045277465
378,0.00019305149135015183
379,0.0002324130898403266
382,5.120754697403749e-06
