strategy,strategy_name,vertex_index,metric,start,vaccine_fraction,max_steps,saved_at_utc
1,DEGREE,3281,55.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,3955,55.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,10192,55.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,13090,55.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,1297,54.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,1408,54.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,4280,54.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,4537,54.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,5069,54.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,5238,54.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,71,53.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,90,53.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,828,53.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,2989,53.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,4294,53.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,7806,53.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,213,52.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,821,52.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,1056,52.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,4863,52.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,5812,52.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,6697,52.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,457,51.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,494,51.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,588,51.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,931,51.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,1468,51.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,2609,51.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,3018,51.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,4329,51.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,4355,51.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,4908,51.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,7222,51.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,7789,51.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,8423,51.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,9767,51.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,10215,51.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,10260,51.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,12589,51.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,757,50.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,2774,50.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,3517,50.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,4321,50.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,5233,50.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,7055,50.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,7461,50.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,8678,50.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,0,49.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,471,49.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,489,49.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,561,49.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,2154,49.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,4377,49.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,4657,49.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,5585,49.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,6217,49.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,6468,49.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,6953,49.0,1000,0.1,-1,2025-10-25T10:12:30
